Зона/Класс,Что это,Технологическая цель,Бизнес-цель,Как работает
z-disc | IPAM?DNS?DHCP,"Управление IP-адресами, доменными именами и автоматической выдачей адресов (BlueCat, Infoblox, Microsoft IPAM).",Автоматизация адресного пространства и разрешения имён.,"Исключение конфликтов IP, ускорение onboarding, централизация DNS.",IPAM — реестр свободных/занятых подсетей; DNS — резолвит имена; DHCP — выдаёт адреса по lease.
z-disc | Network Management?NMS,"Системы управления сетью (Zabbix, SolarWinds, LibreNMS, PRTG).",Мониторинг состояния сетевого оборудования и трафика.,"Снижение downtime сети, планирование ёмкости (capacity planning).","Опрос коммутаторов/маршрутизаторов по SNMP/SSH/NetFlow; строит топологию, алерит на ошибки интерфейсов."
z-cmdb,"CMDB / Golden Record — отдельный архитектурный якорь: единый граф активов и связей (SoT), куда стекаются нормализованные CI и откуда читают ITSM, Security, FinOps и BI. Визуально отделён от конвейера нормализации, чтобы не смешивать «очистку данных» с «учётом правды».",Обеспечить одну согласованную модель CI и связей для эксплуатации рисков финансов и отчётности.,"Снижение расхождений между командами ускорение RCA и изменений обоснованность KPI и лицензионного учёта.","Принимает загрузки из нормализационного контура и интеграций отдаёт API события и витрины в downstream-системы; версионирует изменения атрибутов и связей."
z-norm,"Нормализация и обогащение. Зона очистки данных: устраняет дубли, приводит к единому формату, распознаёт ПО и владельцев. Без нормализации CMDB превращается в «свалку» необработанных записей.",Привести сырые данные из множества источников к единому каноническому виду.,"Возможность сопоставлять активы из разных систем, точный учёт, исключение «фантомных» записей.","ETL-процессы: извлечение из z-src/z-disc ? трансформация (правила, ML) ? загрузка в CMDB с дедупликацией и обогащением."
z-cmdb | CMDB / Asset Data Hub,"Центральный реестр конфигураций (CI) и связей: золотая запись актива приложения сервиса и зависимостей между ними.",Единая модель данных для инцидентов изменений закупок и отчётности без дублирования в смежных системах.,"Прозрачность владения затратами и рисками согласованные решения по изменениям и инвестициям.",REST/GraphQL и событийные шины синхронизация с Discovery нормализацией ITSM и DWH; правила качества данных и reconciliation.
z-norm | Normalization Engine,Движок приведения данных к каноническому виду.,"Унификация названий, полей, моделей оборудования и ПО из разных источников.","Возможность сопоставлять активы из разных систем (например, SCCM vs. облако).","Правила трансформации (mapping tables, regex, ML-классификаторы); приводит «MSSQL 2019» и «SQL Server 2019» к одному CI."
z-norm | Reconciliation?De-dup,Сверка и дедупликация записей.,"Обнаружение одного физического актива, представленного несколькими записями.","Экономия лицензий, точный учёт, исключение «фантомных» активов.","Сопоставляет по ключам (serial, MAC, hostname, UUID); merge-алгоритмы определяют «golden record»; удаляет дубли."
z-norm | Software Recognition,Распознавание установленного ПО и его лицензионных свойств.,"Превращение сырых данных об установках в каталог продуктов (vendor, title, version, edition).","Точный подсчёт лицензий, compliance с вендором, исключение неизвестного ПО.","Библиотека сигнатур (ISO SWID, Flexera, ваши правила); сопоставляет файлы/реестры с известными продуктами."
z-norm | Ownership Enrichment,Обогащение данных владельцем/ответственным.,"Привязка актива к физическому лицу, подразделению или бизнес-функции.","Распределение ответственности, ускорение инцидентов, charge-back.","Сопоставление по userID из IAM, hostname-префиксам, оргструктуре из HRM; fallback — workflow-опрос."
z-itsm,"Управление ИТ-услугами. Зона процессов: как реагировать на инциденты, как вносить изменения, где хранить знания. Связывает инфраструктуру с бизнес-услугами через процессы и каталог.",Автоматизация ИТ-процессов по ITIL на единой платформе.,"Снижение времени простоя, прозрачность ИТ-затрат, измеримость SLA.","Тикетная система + CMDB + workflow engine; маршрутизирует обращения, считает метрики, управляет SLA."
z-itsm | ITSM Core,"Ядро системы управления ИТ-услугами (ServiceNow, Jira Service Management, BMC Remedy, GLPI).",Платформа для автоматизации ИТ-процессов по ITIL.,"Снижение времени простоя, прозрачность ИТ-затрат, измеримость SLA.","Тикетная система + CMDB + workflow engine; маршрутизирует обращения, считает метрики, управляет SLA."
z-itsm | Incident Management,Управление инцидентами.,Максимально быстрое восстановление сервиса при сбое.,"Минимизация ущерба бизнесу, соблюдение SLA перед заказчиком.",Регистрация ? классификация ? эскалация ? диагностика ? resolution; интеграция с мониторингом для авто-создания тикетов.
z-itsm | Change Management,Управление изменениями.,Контролируемое внесение изменений в инфраструктуру с минимизацией рисков.,"Предотвращение «падений» из-за непродуманных обновлений, аудит изменений.",CAB/ECAB-утверждение; workflow с фазами (RFC ? оценка ? план ? реализация ? review); связь с CMDB для impact analysis.
z-itsm | Problem Management,Управление проблемами.,Выявление и устранение корневых причин повторяющихся инцидентов.,"Структурное снижение количества инцидентов, повышение стабильности.",Анализ трендов инцидентов ? выделение problem ? root cause analysis (RCA) ? known error ? permanent fix.
z-itsm | Service Catalog,Каталог ИТ-услуг.,Стандартизированное меню ИТ-услуг для заказа бизнесом.,"Прозрачное ценообразование ИТ, self-service, сокращение ad-hoc запросов.","Публикация услуг (VM, почта, доступ к CRM) с SLA и стоимостью; форма заказа ? workflow ? fulfillment."
z-itsm | Knowledge Base,База знаний.,"Хранение решений, инструкций, RCA, FAQ.","Сокращение time-to-resolve, onboarding новых инженеров, снижение нагрузки на L1.","Статьи с тегами, связь с инцидентами, поиск по полнотексту, feedback (было ли полезно)."
z-itsm | Release Management,Управление релизами.,Координация поставки новых версий ПО/инфраструктуры в продакшн.,"Предсказуемость поставки фич, синхронизация с бизнес-календарём.",Планирование релиза ? сборка ? тестирование ? deployment schedule ? rollout ? post-implementation review.
z-itsm | BPM?Workflow,Бизнес-процессы и workflow-движок.,Автоматизация маршрутов согласования и исполнения задач.,"Ускорение согласований, исключение «бумажных» процессов, compliance.","Визуальный конструктор процессов (BPMN); назначение задач, таймеры, условные переходы, интеграция с API."
z-fin,"Финансы и управление жизненным циклом. Зона денег: сколько стоит ИТ, оптимизация лицензий, синхронизация с бухгалтерией. Переводит технические активы в финансовые показатели.","Связать технические активы с финансовыми метриками: стоимость, амортизация, лицензии.","Оптимизация ИТ-затрат, compliance с лицензионной политикой, обоснование инвестиций.","Собирает данные из CMDB, нормализует лицензии, считает TCO и ROI, синхронизирует с ERP для бухгалтерии."
z-fin | FinOps,Финансовые операции и управление облачными затратами.,Оптимизация расходов на облако через прозрачность и accountability.,"Снижение облачного счёта на 20–30 %, charge-back/show-back по командам.","Тегирование ресурсов, бюджеты, алерты на аномалии, рекомендации (rightsizing, reserved instances)."
z-fin | License Management,"Управление лицензиями ПО (Flexera, Snow, ServiceNow SAM).","Точный учёт лицензий, соответствие условиям EULA.","Исключение штрафов за audit, elimination of true-up, оптимизация лицензионного портфеля.",Сравнение установленного ПО (from z-norm) с купленными лицензиями; расчёт effective license position (ELP).
z-fin | Asset Lifecycle,Управление жизненным циклом актива.,Отслеживание этапов: закупка ? ввод в эксплуатацию ? обслуживание ? выбытие.,"Максимизация ROI оборудования, планирование замены, контроль списания.",Workflow по статусам (ordered ? received ? active ? maintenance ? retired); интеграция с procurement и бухгалтерией.
z-fin | ERP Sync,Синхронизация с ERP / финансовыми системами.,"Двусторонний обмен данными об активах, стоимости, амортизации.","Единая финансовая картина, автоматическое списание, соответствие учётной политике.",API/ETL: передача в ERP данных о новых активах для capitalization; получение из ERP статусов оплаты/амортизации.
z-sec,"Информационная безопасность. Зона защиты: обнаружение угроз, управление доступом, предотвращение утечек, compliance. Обеспечивает CIA (confidentiality, integrity, availability) инфраструктуры.","Защита инфраструктуры и данных от угроз, инсайдеров и несанкционированного доступа.","Снижение репутационных и финансовых рисков, compliance с регуляторикой.","Сбор событий, корреляция, применение политик, блокировка, аудит, реагирование на инциденты ИБ."
z-sec | SIEM,"Security Information and Event Management (Splunk ES, QRadar, Sentinel, ELK).","Централизованный сбор, корреляция и анализ security-событий.","Раннее обнаружение атак, расследование инцидентов ИБ, compliance (PCI DSS, 187-ФЗ).",Агенты/ syslog/ API ? нормализация ? корреляционные правила (correlation rules) ? алерты ? расследование.
z-sec | PAM,"Privileged Access Management (CyberArk, Delinea, Wallix).","Защита и контроль привилегированных учётных записей (админов, root, service accounts).","Предотвращение инсайдерских угроз и lateral movement, аудит действий админов.",Vault для паролей; session recording; just-in-time elevation; ротация credentials.
z-sec | EDR,"Endpoint Detection and Response (CrowdStrike, SentinelOne, Kaspersky EDR).",Обнаружение и реагирование на угрозы на конечных устройствах.,"Остановка вредоносного ПО, расследование компрометации рабочих станций.","Агент мониторит процессы, сетевые соединения, поведение; ML-детекция аномалий; remote containment (isolate host)."
z-sec | DLP,"Data Loss Prevention (Symantec DLP, Forcepoint, InfoWatch).",Предотвращение утечки конфиденциальных данных за периметр.,"Защита интеллектуальной собственности, персональных данных, compliance (152-ФЗ, GDPR).","Классификация данных (regex, fingerprinting); контроль каналов (email, web, USB, cloud); блокировка/эскалация при нарушении политики."
z-sec | GRC,"Governance, Risk and Compliance (RSA Archer, SAP GRC, MetricStream).","Управление рисками, политиками, аудитом и compliance.","Снижение регуляторных рисков, систематизация проверок, подготовка к аудитам.","Реестр рисков, политики, контроли, assessment-опросники; маршруты remediation; дашборды для CISO/аудиторов."
z-ops,"Операции и эксплуатация. Зона непрерывности: мониторинг производительности, доставка ПО, патчи, управление конфигурацией. Гарантирует, что инфраструктура работает стабильно и актуальна.","Обеспечить стабильность, доступность и актуальность инфраструктуры и приложений.","Минимизация downtime, предсказуемость поставки изменений, снижение операционных рисков.",Мониторинг ? алерты ? автоматизированное или ручное реагирование; CI/CD для доставки; CM для поддержания состояния.
z-ops | APM?Observability,"Мониторинг приложений и observability (Datadog, Dynatrace, New Relic, Grafana).","Понимание поведения приложений: метрики, логи, трейсы (MELT).","Снижение MTTR, проактивное выявление узких мест, управление пользовательским опытом.",Агенты/instrumentation собирают traces и metrics; корреляция запросов через сервисы; алерты на деградацию SLO.
z-ops | Deployment?SW Distribution,"Распространение ПО и артефактов (SCCM, Ansible, Jenkins, GitLab CI, Octopus).",Автоматизированная доставка ПО и обновлений на серверы и рабочие станции.,"Сокращение времени rollout, стандартизация окружений, снижение человеческой ошибки.",CI/CD pipeline: build ? test ? deploy; configuration management (push/pull модель); rollback-процедуры.
z-ops | Patch Management,"Управление обновлениями и патчами (WSUS, SCCM, Ivanti, Qualys PM).",Своевременная установка security- и функциональных патчей.,"Закрытие уязвимостей, compliance, стабильность систем.",Сканирование на missing patches ? тестирование в staging ? approval ? распределение ? отчёт о compliance.
z-ops | Configuration Management,"Управление конфигурацией (Ansible, Puppet, Chef, SaltStack).",Декларативное управление состоянием инфраструктуры.,"Идемпотентность, быстрое восстановление, предсказуемость сред.",Описание желаемого состояния (playbook/manifest) ? применение на ноды ? дрифт-детекция ? авто-ремедиация.
z-cld,"Облачное управление. Зона мультиоблачности: оркестрация ресурсов, governance, cost control, policy enforcement в публичных и private cloud.",Централизованное управление ресурсами и политиками в мультиоблачной среде.,"Сокращение shadow IT, оптимизация облачных расходов, стандартизация облачных сервисов.","Единый портал/политики для заказа, развёртывания и контроля ресурсов в AWS/Azure/GCP/vSphere."
z-cld | CMP,"Cloud Management Platform (Morpheus, CloudBolt, Flexera, встроенные оркестраторы).","Единый интерфейс для заказа, развёртывания и управления ресурсами в мультиоблаке.","Self-service для DevOps, сокращение shadow IT, стандартизация шаблонов.",Каталог шаблонов (blueprints) ? provisioning в AWS/Azure/GCP/vSphere ? lifecycle management ? decommissioning.
z-cld | Cloud Governance,"Политики и управление облаком (AWS Organizations, Azure Policy, GCP Organization Policy, FinOps-рамки).",Навязание корпоративных правил в облачных средах.,"Предотвращение нежелательных конфигураций, контроль тегов, ограничение регионов/типов ресурсов.","Policy-as-code (OPA, Azure Policy); guardrails на создание ресурсов; auto-remediation; charge-back по тегам."
z-bi,"Бизнес-аналитика и отчётность. Зона инсайтов: агрегация данных из всех зон в хранилище, построение отчётов и дашбордов для принятия решений CIO, CFO, CEO.",Консолидация данных из всех зон для анализа и отчётности.,"Data-driven decisions: планирование ИТ-бюджета, анализ эффективности команд, прогнозирование.",ETL/ELT из всех зон ? DWH ? OLAP/витрины ? дашборды и ad-hoc отчёты для руководства.
z-bi | BI?DWH,"Хранилище данных и бизнес-аналитика (Snowflake, ClickHouse, Power BI, Tableau, Apache Superset).",Консолидация данных из множества источников для анализа.,"Data-driven decisions: планирование ИТ-бюджета, анализ эффективности команд, прогнозирование.",ETL/ELT из z-src…z-ops ? DWH (facts + dimensions) ? OLAP-кубы/витрины ? визуализация и ad-hoc запросы.
z-bi | Executive Dashboards,Дашборды для руководства.,Высокоуровневая визуализация ключевых метрик ИТ.,"Быстрая оценка здоровья ИТ, обоснование инвестиций на совете директоров.","KPI/SLA метрики (доступность, затраты, удовлетворённость, риски) в real-time; drill-down от high-level к деталям."
z-itsm | Service Desk,"Единая точка контакта пользователей с ИТ: приём и первичная обработка обращений (инциденты, запросы на обслуживание, вопросы), мультиканальность и маршрутизация на L1/L2.","Стандартизировать регистрацию обращений, связать тикеты с CMDB и каталогом услуг, обеспечить SLA и эскалации.",Снижение времени восстановления сервиса и повышение удовлетворённости пользователей.,"Интеграции с ITSM Core, CMDB, Knowledge Base, телефонией и почтой; правила маршрутизации и очереди исполнителей."
z-fin | ITAM,"IT Asset Management: жизненный цикл IT-активов (закупка, ввод, эксплуатация, списание), кастодиан и финансовые атрибуты.","Единый учёт активов для планирования, аудита и согласованности с CMDB и финансами.",Прозрачность затрат и рисков по активам; поддержка compliance и отчётности.,"Интеграции с CMDB, procurement, SAM, ERP; workflow смены статусов и владельцев."
z-fin | SAM,"Software Asset Management: инвентаризация ПО, нормализация названий, сопоставление с лицензиями и контрактами.",Снижение license gap и подготовка к аудитам ПО.,Контроль стоимости и правового соответствия по ПО.,"Данные с агентов и реестров, связь с License Management и CMDB; отчёты ELP и рекомендации по оптимизации."
z-sec | Vulnerability Management,"Управление уязвимостями: обнаружение (сканирование, агенты), приоритизация, план ремедиации и контроль закрытия.",Сокращение окна эксплуатации уязвимостей и поверхности атаки.,Снижение риска инцидентов и требований регуляторов.,"Интеграция со сканерами, CMDB, patch- и ITSM-процессами; SLA на устранение и отчётность для CISO."
z-ops | Monitoring / Event,"Сбор метрик, событий и логов с инфраструктуры и приложений; алертинг, корреляция и передача сигналов в ITSM.",Раннее обнаружение отказов и деградаций; автоматизация создания инцидентов.,Минимизация MTTR и влияния сбоев на бизнес.,"Агенты, SNMP, API облаков и APM; правила алертов, webhooks в Service Desk/Incident Management, хранение временных рядов."
