SECTION,SOURCE_FILE,PRIMARY_KEY,STR_1,STR_2,STR_3,STR_4,STR_5,STR_6,STR_7
REFERENCE_ZONE,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-src,"Источники данных / Системы-источники. Зона первичных данных: всё, что производит или хранит информацию об активах, пользователях, финансах и доступах. Без этой зоны нет сырых данных для инвентаризации и аналитики.","Производить и хранить структурированные данные об ИТ-активах, персонале, финансах и доступах для дальнейшей агрегации.","Обеспечить фундамент для учёта, аналитики и управления ИТ-активами и персоналом.","Системы ведут транзакционные и справочные данные; отдают их через API, БД-коннекторы, файловый обмен или агенты в зоны дискаверинга и нормализации.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-bi | BI?DWH,"Хранилище данных и бизнес-аналитика (Snowflake, ClickHouse, Power BI, Tableau, Apache Superset).",Консолидация данных из множества источников для анализа.,"Data-driven decisions: планирование ИТ-бюджета, анализ эффективности команд, прогнозирование.",ETL/ELT из z-src…z-ops ? DWH (facts + dimensions) ? OLAP-кубы/витрины ? визуализация и ad-hoc запросы.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-bi | Executive Dashboards,Дашборды для руководства.,Высокоуровневая визуализация ключевых метрик ИТ.,"Быстрая оценка здоровья ИТ, обоснование инвестиций на совете директоров.","KPI/SLA метрики (доступность, затраты, удовлетворённость, риски) в real-time; drill-down от high-level к деталям.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-cld | Cloud Governance,"Политики и управление облаком (AWS Organizations, Azure Policy, GCP Organization Policy, FinOps-рамки).",Навязание корпоративных правил в облачных средах.,"Предотвращение нежелательных конфигураций, контроль тегов, ограничение регионов/типов ресурсов.","Policy-as-code (OPA, Azure Policy); guardrails на создание ресурсов; auto-remediation; charge-back по тегам.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-cld | CMP,"Cloud Management Platform (Morpheus, CloudBolt, Flexera, встроенные оркестраторы).","Единый интерфейс для заказа, развёртывания и управления ресурсами в мультиоблаке.","Self-service для DevOps, сокращение shadow IT, стандартизация шаблонов.",Каталог шаблонов (blueprints) ? provisioning в AWS/Azure/GCP/vSphere ? lifecycle management ? decommissioning.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-cmdb | CMDB / Asset Data Hub,Центральный реестр конфигураций (CI) и связей: золотая запись актива приложения сервиса и зависимостей между ними.,Единая модель данных для инцидентов изменений закупок и отчётности без дублирования в смежных системах.,Прозрачность владения затратами и рисками согласованные решения по изменениям и инвестициям.,REST/GraphQL и событийные шины синхронизация с Discovery нормализацией ITSM и DWH; правила качества данных и reconciliation.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-disc | Cloud Inventory,"Облачный ассет-менеджмент (AWS Config, Azure Resource Graph, GCP Asset Inventory).","Учёт ресурсов в мультиоблаке: ВМ, контейнеры, бакеты, IAM-роли.","Контроль облачных расходов, предотвращение «забытых» ресурсов, security posture.",Читает API облачных провайдеров в real-time; отслеживает создание/изменение/удаление ресурсов.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-disc | Inventory,"CMDB / реестр IT-активов (ServiceNow CMDB, Device42, Lansweeper, ITMen/InfrITMen).",Единый реестр всех CI с атрибутами и связями.,"Прозрачность инфраструктуры, снижение потерь оборудования, обоснование инвестиций.","Агрегирует данные из агентов, SNMP, API облаков; хранит связи «хостинг-приложение-сервер-сеть».",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-disc | IPAM?DNS?DHCP,"Управление IP-адресами, доменными именами и автоматической выдачей адресов (BlueCat, Infoblox, Microsoft IPAM).",Автоматизация адресного пространства и разрешения имён.,"Исключение конфликтов IP, ускорение onboarding, централизация DNS.",IPAM — реестр свободных/занятых подсетей; DNS — резолвит имена; DHCP — выдаёт адреса по lease.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-disc | NAC,"Network Access Control (Cisco ISE, ForeScout, Aruba ClearPass).",Контроль подключения устройств к сети на основе идентичности и posture.,"Предотвращение подключения неавторизованных/заражённых устройств, сегментация.",Проверяет 802.1X/MAC/профиль устройства при подключении; не прошёл проверку — отправляет в изоляцию (quarantine VLAN).,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-disc | Network Management?NMS,"Системы управления сетью (Zabbix, SolarWinds, LibreNMS, PRTG).",Мониторинг состояния сетевого оборудования и трафика.,"Снижение downtime сети, планирование ёмкости (capacity planning).","Опрос коммутаторов/маршрутизаторов по SNMP/SSH/NetFlow; строит топологию, алерит на ошибки интерфейсов.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-disc | UEM?MDM,"Unified Endpoint Management / Mobile Device Management (Microsoft Intune, VMware Workspace ONE, Kandji).","Управление конфигурацией, политиками и compliance конечных устройств.","Защита корпоративных данных на мобильных/удалённых устройствах, BYOD.","Агент на устройстве получает профили (Wi-Fi, VPN, сертификаты); remote wipe/lock; инвентаризация установленного ПО.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-fin | Asset Lifecycle,Управление жизненным циклом актива.,Отслеживание этапов: закупка ? ввод в эксплуатацию ? обслуживание ? выбытие.,"Максимизация ROI оборудования, планирование замены, контроль списания.",Workflow по статусам (ordered ? received ? active ? maintenance ? retired); интеграция с procurement и бухгалтерией.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-fin | ERP Sync,Синхронизация с ERP / финансовыми системами.,"Двусторонний обмен данными об активах, стоимости, амортизации.","Единая финансовая картина, автоматическое списание, соответствие учётной политике.",API/ETL: передача в ERP данных о новых активах для capitalization; получение из ERP статусов оплаты/амортизации.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-fin | FinOps,Финансовые операции и управление облачными затратами.,Оптимизация расходов на облако через прозрачность и accountability.,"Снижение облачного счёта на 20–30 %, charge-back/show-back по командам.","Тегирование ресурсов, бюджеты, алерты на аномалии, рекомендации (rightsizing, reserved instances).",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-fin | ITAM,"IT Asset Management: жизненный цикл IT-активов (закупка, ввод, эксплуатация, списание), кастодиан и финансовые атрибуты.","Единый учёт активов для планирования, аудита и согласованности с CMDB и финансами.",Прозрачность затрат и рисков по активам; поддержка compliance и отчётности.,"Интеграции с CMDB, procurement, SAM, ERP; workflow смены статусов и владельцев.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-fin | License Management,"Управление лицензиями ПО (Flexera, Snow, ServiceNow SAM).","Точный учёт лицензий, соответствие условиям EULA.","Исключение штрафов за audit, elimination of true-up, оптимизация лицензионного портфеля.",Сравнение установленного ПО (from z-norm) с купленными лицензиями; расчёт effective license position (ELP).,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-fin | SAM,"Software Asset Management: инвентаризация ПО, нормализация названий, сопоставление с лицензиями и контрактами.",Снижение license gap и подготовка к аудитам ПО.,Контроль стоимости и правового соответствия по ПО.,"Данные с агентов и реестров, связь с License Management и CMDB; отчёты ELP и рекомендации по оптимизации.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-itsm | BPM?Workflow,Бизнес-процессы и workflow-движок.,Автоматизация маршрутов согласования и исполнения задач.,"Ускорение согласований, исключение «бумажных» процессов, compliance.","Визуальный конструктор процессов (BPMN); назначение задач, таймеры, условные переходы, интеграция с API.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-itsm | Change Management,Управление изменениями.,Контролируемое внесение изменений в инфраструктуру с минимизацией рисков.,"Предотвращение «падений» из-за непродуманных обновлений, аудит изменений.",CAB/ECAB-утверждение; workflow с фазами (RFC ? оценка ? план ? реализация ? review); связь с CMDB для impact analysis.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-itsm | Incident Management,Управление инцидентами.,Максимально быстрое восстановление сервиса при сбое.,"Минимизация ущерба бизнесу, соблюдение SLA перед заказчиком.",Регистрация ? классификация ? эскалация ? диагностика ? resolution; интеграция с мониторингом для авто-создания тикетов.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-itsm | ITSM Core,"Ядро системы управления ИТ-услугами (ServiceNow, Jira Service Management, BMC Remedy, GLPI).",Платформа для автоматизации ИТ-процессов по ITIL.,"Снижение времени простоя, прозрачность ИТ-затрат, измеримость SLA.","Тикетная система + CMDB + workflow engine; маршрутизирует обращения, считает метрики, управляет SLA.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-itsm | Knowledge Base,База знаний.,"Хранение решений, инструкций, RCA, FAQ.","Сокращение time-to-resolve, onboarding новых инженеров, снижение нагрузки на L1.","Статьи с тегами, связь с инцидентами, поиск по полнотексту, feedback (было ли полезно).",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-itsm | Problem Management,Управление проблемами.,Выявление и устранение корневых причин повторяющихся инцидентов.,"Структурное снижение количества инцидентов, повышение стабильности.",Анализ трендов инцидентов ? выделение problem ? root cause analysis (RCA) ? known error ? permanent fix.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-itsm | Release Management,Управление релизами.,Координация поставки новых версий ПО/инфраструктуры в продакшн.,"Предсказуемость поставки фич, синхронизация с бизнес-календарём.",Планирование релиза ? сборка ? тестирование ? deployment schedule ? rollout ? post-implementation review.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-itsm | Service Catalog,Каталог ИТ-услуг.,Стандартизированное меню ИТ-услуг для заказа бизнесом.,"Прозрачное ценообразование ИТ, self-service, сокращение ad-hoc запросов.","Публикация услуг (VM, почта, доступ к CRM) с SLA и стоимостью; форма заказа ? workflow ? fulfillment.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-itsm | Service Desk,"Единая точка контакта пользователей с ИТ: приём и первичная обработка обращений (инциденты, запросы на обслуживание, вопросы), мультиканальность и маршрутизация на L1/L2.","Стандартизировать регистрацию обращений, связать тикеты с CMDB и каталогом услуг, обеспечить SLA и эскалации.",Снижение времени восстановления сервиса и повышение удовлетворённости пользователей.,"Интеграции с ITSM Core, CMDB, Knowledge Base, телефонией и почтой; правила маршрутизации и очереди исполнителей.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-norm | Normalization Engine,Движок приведения данных к каноническому виду.,"Унификация названий, полей, моделей оборудования и ПО из разных источников.","Возможность сопоставлять активы из разных систем (например, SCCM vs. облако).","Правила трансформации (mapping tables, regex, ML-классификаторы); приводит «MSSQL 2019» и «SQL Server 2019» к одному CI.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-norm | Ownership Enrichment,Обогащение данных владельцем/ответственным.,"Привязка актива к физическому лицу, подразделению или бизнес-функции.","Распределение ответственности, ускорение инцидентов, charge-back.","Сопоставление по userID из IAM, hostname-префиксам, оргструктуре из HRM; fallback — workflow-опрос.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-norm | Reconciliation?De-dup,Сверка и дедупликация записей.,"Обнаружение одного физического актива, представленного несколькими записями.","Экономия лицензий, точный учёт, исключение «фантомных» активов.","Сопоставляет по ключам (serial, MAC, hostname, UUID); merge-алгоритмы определяют «golden record»; удаляет дубли.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-norm | Software Recognition,Распознавание установленного ПО и его лицензионных свойств.,"Превращение сырых данных об установках в каталог продуктов (vendor, title, version, edition).","Точный подсчёт лицензий, compliance с вендором, исключение неизвестного ПО.","Библиотека сигнатур (ISO SWID, Flexera, ваши правила); сопоставляет файлы/реестры с известными продуктами.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-ops | APM?Observability,"Мониторинг приложений и observability (Datadog, Dynatrace, New Relic, Grafana).","Понимание поведения приложений: метрики, логи, трейсы (MELT).","Снижение MTTR, проактивное выявление узких мест, управление пользовательским опытом.",Агенты/instrumentation собирают traces и metrics; корреляция запросов через сервисы; алерты на деградацию SLO.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-ops | Configuration Management,"Управление конфигурацией (Ansible, Puppet, Chef, SaltStack).",Декларативное управление состоянием инфраструктуры.,"Идемпотентность, быстрое восстановление, предсказуемость сред.",Описание желаемого состояния (playbook/manifest) ? применение на ноды ? дрифт-детекция ? авто-ремедиация.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-ops | Deployment?SW Distribution,"Распространение ПО и артефактов (SCCM, Ansible, Jenkins, GitLab CI, Octopus).",Автоматизированная доставка ПО и обновлений на серверы и рабочие станции.,"Сокращение времени rollout, стандартизация окружений, снижение человеческой ошибки.",CI/CD pipeline: build ? test ? deploy; configuration management (push/pull модель); rollback-процедуры.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-ops | Monitoring / Event,"Сбор метрик, событий и логов с инфраструктуры и приложений; алертинг, корреляция и передача сигналов в ITSM.",Раннее обнаружение отказов и деградаций; автоматизация создания инцидентов.,Минимизация MTTR и влияния сбоев на бизнес.,"Агенты, SNMP, API облаков и APM; правила алертов, webhooks в Service Desk/Incident Management, хранение временных рядов.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-ops | Patch Management,"Управление обновлениями и патчами (WSUS, SCCM, Ivanti, Qualys PM).",Своевременная установка security- и функциональных патчей.,"Закрытие уязвимостей, compliance, стабильность систем.",Сканирование на missing patches ? тестирование в staging ? approval ? распределение ? отчёт о compliance.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-sec | DLP,"Data Loss Prevention (Symantec DLP, Forcepoint, InfoWatch).",Предотвращение утечки конфиденциальных данных за периметр.,"Защита интеллектуальной собственности, персональных данных, compliance (152-ФЗ, GDPR).","Классификация данных (regex, fingerprinting); контроль каналов (email, web, USB, cloud); блокировка/эскалация при нарушении политики.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-sec | EDR,"Endpoint Detection and Response (CrowdStrike, SentinelOne, Kaspersky EDR).",Обнаружение и реагирование на угрозы на конечных устройствах.,"Остановка вредоносного ПО, расследование компрометации рабочих станций.","Агент мониторит процессы, сетевые соединения, поведение; ML-детекция аномалий; remote containment (isolate host).",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-sec | GRC,"Governance, Risk and Compliance (RSA Archer, SAP GRC, MetricStream).","Управление рисками, политиками, аудитом и compliance.","Снижение регуляторных рисков, систематизация проверок, подготовка к аудитам.","Реестр рисков, политики, контроли, assessment-опросники; маршруты remediation; дашборды для CISO/аудиторов.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-sec | PAM,"Privileged Access Management (CyberArk, Delinea, Wallix).","Защита и контроль привилегированных учётных записей (админов, root, service accounts).","Предотвращение инсайдерских угроз и lateral movement, аудит действий админов.",Vault для паролей; session recording; just-in-time elevation; ротация credentials.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-sec | SIEM,"Security Information and Event Management (Splunk ES, QRadar, Sentinel, ELK).","Централизованный сбор, корреляция и анализ security-событий.","Раннее обнаружение атак, расследование инцидентов ИБ, compliance (PCI DSS, 187-ФЗ).",Агенты/ syslog/ API ? нормализация ? корреляционные правила (correlation rules) ? алерты ? расследование.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-sec | Vulnerability Management,"Управление уязвимостями: обнаружение (сканирование, агенты), приоритизация, план ремедиации и контроль закрытия.",Сокращение окна эксплуатации уязвимостей и поверхности атаки.,Снижение риска инцидентов и требований регуляторов.,"Интеграция со сканерами, CMDB, patch- и ITSM-процессами; SLA на устранение и отчётность для CISO.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-src | Endpoints?Servers,"Рабочие станции, ноутбуки, физические и виртуальные серверы, VDI.",Обеспечить вычислительную инфраструктуру для пользователей и приложений.,Работа сотрудников и хостинг бизнес-приложений.,"ОС + агенты/SNMP/WMI отдают данные об аппаратной конфигурации, статусе, сетевом адресе.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-src | ERP?Procurement,"ERP-системы и модули закупок (SAP, 1С:ERP, Oracle).","Автоматизировать бухгалтерию, закупки, склад, производство.","Контроль затрат, прозрачность цепочки поставок, списание активов по бухгалтерии.",Транзакционная БД с модулями MM/FI/CO; интегрируется с финансами и складом через IDoc/RFC/REST.,,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-src | HRM?HRIS,"Кадровые системы (1С:ЗУП, SAP HCM, Workday, Босс-кадровик).","Хранить оргструктуру, штатное расписание, кадровые события.","Управление персоналом, расчёт зарплаты, привязка активов к сотрудникам.","Ведёт справочники сотрудников, подразделений, должностей; через API/DB-sync отдаёт изменения.",,,
REFERENCE_CLASS,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-src | IAM?IGA?PAM,"Управление идентификацией, доступом и привилегированными учётными записями (Active Directory, SailPoint, CyberArk).","Централизованно выдавать, отзывать и аудировать доступы.","Снижение рисков утечек, compliance (SOX, 152-ФЗ), сокращение shadow IT.",Identity Store + политики RBAC/ABAC; workflow на выдачу прав; PAM-сессии записывают действия привилегированных пользователей.,,,
FUNCTION_ROW,Enterprise_IT_Landscape_47_классов__1_дискаверинг.csv,дискаверинг,категория,1,Критерии общие,"Базовые организационно-экономические характеристики продукта, определяющие его легитимность на рынке РФ, совокупную стоимость владения (TCO) и доступность технической поддержки.","Определяют архитектурные и эксплуатационные ограничения при выборе решения: совместимость со стандартами, требования к инфраструктуре, SLA поддержки.","Влияют на принятие решения о закупке, соответствие регламентам закупочного законодательства, бюджетное планирование и оценку окупаемости инвестиций (ROI).",
FUNCTION_ROW,Enterprise_IT_Landscape_47_классов__1_дискаверинг.csv,дискаверинг,функция,1,В реестре Минцифры,Признак включения программного продукта в реестр отечественного ПО Минцифры России.,"Технически не влияет на функционал продукта, но является юридическим статусом, подтверждающим соответствие требованиям локализации и импортозамещения.","Обязателен для государственных учреждений и компаний с государственным участием при закупках по 44-ФЗ и 223-ФЗ. Снижает риски санкционных ограничений, облегчает прохождение аудитов и тендерных процедур.",
FUNCTION_ROW,Enterprise_IT_Landscape_47_классов__1_дискаверинг.csv,дискаверинг,функция,1,Стоимость,"Совокупная стоимость владения (TCO), включающая лицензии, подписку, внедрение и сопровождение системы.","Может влиять на доступность модулей (например, отдельная плата за агенты, хабы или расширенные сенсоры), определяет модель лицензирования (на ядро, на устройство, на пользователя).","Определяет окупаемость инвестиций, доступность для малого и среднего бизнеса, возможность масштабирования без пересмотра бюджета. Неправильная оценка TCO приводит к скрытым затратам на внедрение и сопровождение.",
FUNCTION_ROW,Enterprise_IT_Landscape_47_классов__1_дискаверинг.csv,дискаверинг,функция,1,Пакеты технической поддержки на выбор с обучением: стандартный и расширенный,Модели сопровождения продукта с различным SLA и наличием программ обучения администраторов.,"Влияет на время реакции (response time), круглосуточность поддержки, каналы связи (телефон, портал, чат), а также на глубину эксплуатации функций через обучение и сертификацию.","Снижает зависимость от внутренней экспертизы, ускоряет time-to-value, минимизирует простои. Расширенный пакет критичен для круглосуточных производственных сред и компаний без резервных ИТ-кадров.",
FUNCTION_ROW,Enterprise_IT_Landscape_47_классов__1_дискаверинг.csv,дискаверинг,категория,3,Критерии (Базовые функции),"Фундаментальный функционал системы Discovery & Inventory, обеспечивающий автоматическое обнаружение, сбор, анализ и визуализацию данных об ИТ-активах.","От этих функций напрямую зависит полнота и точность CMDB (Configuration Management Database), качество управления активами, скорость сканирования и глубина собираемых атрибутов.","Определяет возможность соответствия лицензионной политике, информационной безопасности, управления жизненным циклом активов и подготовки отчетности для аудиторов и регуляторов.",
FUNCTION_ROW,Enterprise_IT_Landscape_47_классов__1_дискаверинг.csv,дискаверинг,функция,3,"Дискаверинг неизвестных IP-адресов (ARP, LLDP, SSDP)","Функция автоматического обнаружения устройств в сети по протоколам ARP, LLDP и SSDP без предварительного задания диапазонов.","Обеспечивает полноту инвентаризации без ручного ввода, выявляет 'теневые' устройства и несанкционированные подключения через анализ таблиц коммутаторов, соседей по канальному уровню и UPnP-устройств.","Снижает риски ИБ за счет выявления нелегальных подключений, исключает потери активов, дает достоверную картину инфраструктуры для планирования закупок, аудита и оптимизации сетевой топологии.",
FUNCTION_ROW,Enterprise_IT_Landscape_47_классов__1_дискаверинг.csv,дискаверинг,функция,3,Безагентская инвентаризация,Сбор данных об активах по сети без установки программ-агентов на конечные устройства.,"Реализуется через SNMP, WMI, SSH, REST API; снижает нагрузку на ОС и сеть, упрощает развертывание в гетерогенных средах, позволяет инвентаризировать сетевое оборудование, IoT и embedded-системы.","Ускоряет внедрение (нет этапа массовой установки агентов), снижает трудозатраты на поддержку агентов, минимизирует конфликты с антивирусами и политиками безопасности, сокращает TCO.",
